time,max,99th,95th,med
4493436,12.0,12.0,12.0,7.0
4496481,12.0,12.0,12.0,7.0
4496485,12.0,12.0,12.0,7.0
4496489,12.0,12.0,12.0,7.0
4496493,12.0,12.0,12.0,7.0
4496497,12.0,12.0,12.0,7.0
4496501,12.0,12.0,12.0,7.0
4496505,12.0,12.0,12.0,7.0
4496509,12.0,12.0,12.0,7.0
4496513,12.0,12.0,12.0,7.0
4496519,12.0,7.0,7.0,7.0
4496524,7.0,7.0,7.0,7.0
4496532,7.0,7.0,7.0,7.0
4496752,12.0,12.0,7.0,7.0
4497410,12.0,7.0,7.0,7.0
4498223,12.0,7.0,7.0,7.0
4500668,12.0,12.0,7.0,7.0
4501403,12.0,12.0,12.0,7.0
4505709,12.0,12.0,12.0,7.0
4524584,12.0,12.0,7.0,7.0
4524588,12.0,7.0,7.0,7.0
4524591,12.0,7.0,7.0,7.0
4524606,7.0,7.0,7.0,7.0
4524620,7.0,7.0,7.0,7.0
4524626,7.0,7.0,7.0,7.0
4525428,7.0,7.0,7.0,7.0
4526039,7.0,7.0,7.0,7.0
4531535,7.0,7.0,7.0,7.0
4532760,7.0,7.0,7.0,7.0
4533263,12.0,7.0,7.0,7.0
4537104,12.0,12.0,7.0,7.0
4549161,12.0,12.0,12.0,7.0
4561076,12.0,12.0,12.0,7.0
4562101,12.0,12.0,12.0,7.0
4613417,12.0,12.0,12.0,7.0
4617261,49.2,49.2,12.0,7.0
4634860,12.0,12.0,12.0,7.0
4711107,12.0,12.0,7.0,7.0
4734797,49.2,49.2,22.0,7.0
4738023,49.2,49.2,22.0,7.0
4738836,49.2,49.2,22.0,7.0
4746773,49.2,49.2,17.0,7.0
4760845,49.2,49.2,49.2,7.0
4760855,49.2,49.2,17.0,7.0
4760861,49.2,49.2,17.0,7.0
4760871,49.2,49.2,17.0,7.0
4760876,49.2,49.2,17.0,7.0
4760908,49.2,49.2,12.0,7.0
4761705,49.2,49.2,17.0,7.0
4762518,49.2,49.2,17.0,7.0
4771944,49.2,49.2,12.0,7.0
4773988,49.2,49.2,7.0,7.0
4802335,49.2,49.2,12.0,7.0
4807247,49.2,49.2,12.0,7.0
4860255,49.2,49.2,17.0,7.0
4869521,49.2,49.2,12.0,7.0
4869525,49.2,49.2,12.0,7.0
4869530,49.2,49.2,12.0,7.0
4869535,49.2,49.2,12.0,7.0
4869540,12.0,12.0,7.0,7.0
4869543,12.0,12.0,7.0,7.0
4869549,12.0,12.0,7.0,7.0
4869959,49.2,49.2,12.0,7.0
4869963,49.2,49.2,12.0,7.0
4869966,49.2,49.2,12.0,7.0
4869970,12.0,12.0,7.0,7.0
4869973,12.0,12.0,7.0,7.0
4869978,12.0,12.0,7.0,7.0
4869981,12.0,12.0,7.0,7.0
4869985,12.0,12.0,7.0,7.0
4869989,12.0,12.0,7.0,7.0
4869992,12.0,12.0,7.0,7.0
4869996,12.0,12.0,7.0,7.0
4870691,12.0,12.0,7.0,7.0
