time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
4500668,931,4,4491995,4491995,4500668,8673,8673,8673,0,0,0,0
4501403,927,4,4491980,4491980,4501403,9423,9423,9423,0,0,0,0
4505709,918,4,4442544,4442549,4505709,63160,63165,63160,5,0,0,0
4531535,954,4,4524626,4524626,4531535,6909,6909,6909,0,0,0,0
4532760,950,4,4524588,4524588,4532760,8172,8172,8172,0,0,0,0
4533263,951,4,4524591,4524591,4533263,8672,8672,8672,0,0,0,0
4537104,944,4,4496513,4496513,4537104,40591,40591,40591,0,0,0,0
4549161,949,4,4524584,4524584,4549161,24577,24577,24577,0,0,0,0
4561076,935,4,4492021,4492021,4561076,69055,69055,69055,0,0,0,0
4562101,943,4,4496509,4496509,4562101,65592,65592,65592,0,0,0,0
4613417,424,4,2058855,2058893,4613417,2554524,2554562,275745,2278817,13,260,0
4617261,530,4,2394724,2394727,4617261,2222534,2222537,229070,1993467,7,140,0
4634860,932,4,4492004,4492004,4634860,142856,142856,142856,0,0,0,0
4711107,936,4,4496481,4496481,4711107,214626,214626,214626,0,0,0,0
4734797,455,4,2059079,2059079,4734797,2675718,2675718,184896,2490822,10,200,0
4746773,627,1,3027298,3027298,4746773,1719475,1719475,657192,1062283,19,380,0
4771944,959,4,4760871,4760871,4771944,11073,11073,11073,0,0,0,0
4773988,483,4,2230252,2230258,4773988,2543730,2543736,223796,2319940,17,1020,0
4802335,956,4,4760845,4760845,4802335,41490,41490,41490,0,0,0,0
4807247,960,4,4760876,4760876,4807247,46371,46371,46371,0,0,0,0
4860255,901,8,4047477,4047477,4860255,812778,812778,160535,652243,2,120,0
4889084,973,4,4869973,4869978,4889084,19106,19111,19106,5,0,0,0
4889410,962,4,4869521,4869525,4889410,19885,19889,19885,4,0,0,0
4900697,981,4,4871827,4889084,4900697,11613,28870,11613,17257,0,0,0
4904888,977,4,4869989,4869992,4904888,34896,34899,34896,3,0,0,0
4925983,966,4,4869540,4869540,4925983,56443,56443,56443,0,0,0,0
4930322,969,4,4869959,4869959,4930322,60363,60363,60363,0,0,0,0
4939337,982,4,4925426,4925426,4939337,13911,13911,13911,0,0,0,0
4994522,957,4,4760855,4760855,4994522,233667,233667,233667,0,0,0,0
4995662,970,4,4869963,4869966,4995662,125696,125699,125696,3,0,0,0
4997719,415,4,2058785,2058810,4997719,2938909,2938934,147841,2791093,6,360,0
5048125,978,4,4869992,4869996,5048125,178129,178133,178129,4,0,0,0
5075049,414,4,2058781,2058781,5075049,3016268,3016268,225266,2791002,9,180,0
5075159,974,4,4869978,4869981,5075159,205178,205181,205178,3,0,0,0
5077148,263,2,1743219,1743219,5077148,3333929,3333929,313736,3020193,13,130,0
5096143,510,4,2230367,2230367,5096143,2865776,2865776,245368,2620408,6,360,0
5113620,980,4,4871823,4871823,5113620,241797,241797,240984,813,1,10,0
5135569,171,2,961211,961211,5135569,4174358,4174358,487330,3687028,10,200,0
5138142,933,4,4492011,4492011,5138142,646131,646131,184848,461283,1,60,0
5164422,334,1,1838416,1838416,5164422,3326006,3326006,547332,2778674,10,400,0
5243484,482,4,2230248,2230255,5243484,3013229,3013236,263046,2750190,11,110,0
5253475,910,4,4348460,4348460,5253475,905015,905015,244550,660465,2,20,0
5329938,871,4,3721571,3723651,5329938,1606287,1608367,218423,1389944,1,30,0
5332888,337,1,1838466,1838466,5332888,3494422,3494422,554171,2940251,13,260,0
5347391,265,2,1829629,1829629,5347391,3517762,3517762,377871,3139891,14,840,0
5368288,223,4,1730216,1731017,5368288,3637271,3638072,175928,3462144,3,150,0
5432113,779,1,3027995,3027995,5432113,2404118,2404118,747261,1656857,16,640,0
