time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
86000035,783,1,3028008,3030838,86000035,82969197,82972027,248043,82723984,1,10,0
86037585,735,1,3027885,3030403,86037585,83007182,83009700,2298019,80711681,1,50,0
86063664,787,1,3028016,3030849,86063664,83032815,83035648,66879,82968769,1,20,0
86129541,753,1,3027927,3030532,86129541,83099009,83101614,968723,82132891,1,60,0
86152895,723,1,3027862,3030319,86152895,83122576,83125033,3352895,79772138,1,50,0
86228039,739,1,3027896,3030422,86228039,83197617,83200143,2243204,80956939,1,50,0
86335582,788,1,3028019,3030852,86335582,83304730,83307563,301247,83006316,1,60,0
86374760,779,1,3027995,3030815,86374760,83343945,83346765,747261,82599504,1,40,0
86425845,794,1,3028033,3030874,86425845,83394971,83397812,54335,83343477,1,10,0
86466687,591,1,3027043,3027043,86466687,83439644,83439644,16006929,67432715,7,140,0
86881120,780,1,3027999,3030823,86881120,83850297,83853121,1246827,82606294,1,50,0
87073419,752,1,3027926,3030528,87073419,84042891,84045493,2072895,81972598,1,40,0
87080021,666,1,3027624,3027624,87080021,84052397,84052397,8426857,75625540,1,50,0
87134377,790,1,3028025,3030857,87134377,84103520,84106352,1008086,83098266,1,20,0
87316585,793,1,3028029,3030872,87316585,84285713,84288556,984253,83304303,1,30,0
87358783,796,1,3028037,3030878,87358783,84327905,84330746,895346,83435400,1,10,0
87416342,763,1,3027961,3030604,87416342,84385738,84388381,2167755,82220626,1,40,0
87444853,705,1,3027728,3027728,87444853,84417125,84417125,5635050,78782075,1,40,0
87466871,786,1,3028015,3030848,87466871,84436023,84438856,1539075,82899781,1,40,0
87630229,800,1,3028045,3030887,87630229,84599342,84602184,499102,84103082,1,40,0
87773044,797,1,3028040,3030879,87773044,84742165,84745004,895174,83849830,1,50,0
88141399,801,1,3028049,3030887,88141399,85110512,85113350,828064,84285286,1,20,0
88158951,765,1,3027965,3030615,88158951,85128336,85130986,2841341,82289645,1,20,0
88173851,808,1,3028063,3030902,88173851,85142949,85145788,35702,85110086,1,50,0
88174219,776,1,3027988,3030779,88174219,85143440,85146231,2626315,82519916,1,30,0
88191348,809,1,3028064,3030908,88191348,85160440,85163284,35647,85127637,1,60,0
88216623,810,1,3028066,3030912,88216623,85185711,85188557,46022,85142535,1,40,0
88232036,812,1,3028070,3030917,88232036,85201119,85203966,43938,85160028,1,20,0
88278428,805,1,3028056,3030895,88278428,85247533,85250372,814807,84435565,1,50,0
88471135,689,1,3027688,3027688,88471135,85443447,85443447,7905942,77537505,1,40,0
88498828,816,1,3028078,3030931,88498828,85467897,85470750,30943,85439807,1,10,0
88578023,807,1,3028060,3030901,88578023,85547122,85549963,808229,84741734,1,60,0
88656850,798,1,3028041,3030881,88656850,85625969,85628809,1586681,84042128,1,20,0
88701357,707,1,3027731,3027731,88701357,85673626,85673626,6847163,78826463,1,60,0
88836045,815,1,3028075,3030930,88836045,85805115,85807970,560867,85247103,1,10,0
88845762,804,1,3028055,3030894,88845762,85814868,85817707,1404159,84413548,1,60,0
88922828,819,1,3028082,3030942,88922828,85891886,85894746,269228,85625518,1,30,0
89026989,814,1,3028074,3030927,89026989,85996062,85998915,798203,85200712,1,40,0
89181416,822,1,3028090,3030959,89181416,86150457,86153326,338904,85814422,1,20,0
89310692,792,1,3028029,3030863,89310692,86279829,86282663,3085903,83196760,1,10,0
89322644,826,1,3028099,3030966,89322644,86291678,86294545,15202,86279343,1,20,0
89396363,827,1,3028099,3030967,89396363,86365396,86368264,76969,86291295,1,40,0
89446730,825,1,3028095,3030963,89446730,86415767,86418635,268564,86150071,1,40,0
89519276,820,1,3028085,3030947,89519276,86488329,86491191,821169,85670022,1,60,0
89563485,678,1,3027647,3027647,89563485,86535838,86535838,9990354,76545484,1,20,0
89604507,683,1,3027666,3027666,89604507,86576841,86576841,9685005,76891836,1,50,0
89633302,821,1,3028086,3030951,89633302,86602351,86605216,800507,85804709,1,30,0
89670630,831,1,3028112,3030974,89670630,86639656,86642518,110395,86532123,1,30,0
89709497,830,1,3028108,3030974,89709497,86678523,86681389,193471,86487918,1,10,0
89716516,832,1,3028113,3030977,89716516,86685539,86688403,115259,86573144,1,40,0
89750260,834,1,3028117,3030981,89750260,86719279,86722143,82880,86639263,1,60,0
89791657,835,1,3028120,3030981,89791657,86760676,86763537,85410,86678127,1,50,0
89826215,838,1,3028126,3030989,89826215,86795226,86798089,79205,86718884,1,50,0
89835973,828,1,3028104,3030970,89835973,86805003,86807869,442860,86365009,1,20,0
89899255,839,1,3028130,3030989,89899255,86868266,86871125,110848,86760277,1,60,0
