job_id,model_name,duration,submit_time,num_gpu,,,
418,f,1922419,2058806,4,,,
419,f,47962007,2058810,4,,,
420,a,41056182,2058826,4,,,
421,d,159184,2058830,4,,,
422,e,838076,2058837,4,,,
423,e,1507312,2058848,4,,,
424,b,275745,2058855,4,,,
425,d,578329,2058862,4,,,
426,a,40137,2058866,4,,,
427,c,6236741,2058870,4,,,
428,c,12514537,2058874,4,,,
429,d,1591159,2058878,4,,,
430,e,5029553,2058882,4,,,
431,b,11426516,2058890,4,,,
432,d,5766132,2058893,4,,,
433,e,445265,2058897,4,,,
434,e,1626711,2058920,4,,,
435,f,1950472,2058929,4,,,
436,a,6245570,2058934,4,,,
437,b,9354512,2058938,4,,,
438,f,411912,2058942,4,,,
439,d,651892,2058946,4,,,
440,b,17676091,2058951,4,,,
441,f,2576355,2058955,4,,,
442,d,2396202,2058959,4,,,
443,c,5983690,2058968,4,,,
444,f,37293799,2058983,4,,,
445,f,45518,2058992,4,,,
446,a,1090335,2059007,4,,,
447,b,88158845,2059011,4,,,
448,c,3659726,2059015,4,,,
449,b,5532127,2059019,4,,,
450,b,41548600,2059028,4,,,
451,f,22561,2059042,4,,,
452,d,3156304,2059065,4,,,
453,d,2127895,2059068,4,,,
454,b,16282715,2059076,4,,,
455,b,184896,2059079,4,,,
456,c,3501891,2059091,2,,,
457,f,92507,2059102,4,,,
458,d,5377425,2059105,4,,,
459,d,8284086,2059109,4,,,
460,f,22651979,2059129,4,,,
461,e,78103530,2059136,4,,,
462,b,7178929,2230177,4,,,
463,c,570569,2230181,4,,,
464,d,225193,2230184,4,,,
465,d,5269355,2230187,4,,,
466,f,569259,2230191,4,,,
467,a,1378838,2230194,4,,,
468,b,7366107,2230198,4,,,
469,d,1377293,2230201,4,,,
470,d,25775,2230205,4,,,
471,d,7623810,2230208,4,,,
472,a,77779,2230212,4,,,
473,b,3014085,2230215,4,,,
474,f,584875,2230219,4,,,
475,c,561237,2230222,4,,,
476,c,28386,2230226,4,,,
477,e,20928,2230229,4,,,
478,e,1550063,2230234,4,,,
479,d,792011,2230238,4,,,
480,a,15098,2230241,4,,,
481,c,8737874,2230245,4,,,
482,a,263046,2230248,4,,,
483,f,223796,2230252,4,,,
484,f,15007,2230255,4,,,
485,a,2233469,2230258,4,,,
486,b,10969072,2230262,4,,,
487,d,8189519,2230265,4,,,
488,f,13617910,2230269,4,,,
489,a,451773,2230273,4,,,
490,c,90586,2230277,4,,,
491,d,249194,2230280,4,,,
492,d,18309038,2230283,4,,,
493,d,4486083,2230287,4,,,
494,a,20589229,2230294,4,,,
495,c,2035714,2230301,4,,,
496,e,256120,2230304,4,,,
497,d,29312116,2230308,4,,,
498,c,41346462,2230311,4,,,
499,e,2643956,2230315,4,,,
500,f,1959922,2230319,4,,,
501,d,71717097,2230326,4,,,
502,e,2517777,2230333,4,,,
503,c,3100586,2230336,4,,,
504,d,154216,2230343,4,,,
505,b,74023,2230346,4,,,
506,d,2767009,2230350,4,,,
507,e,463854,2230353,4,,,
508,d,29237139,2230360,4,,,
509,b,2668349,2230364,4,,,
510,f,245368,2230367,4,,,
511,d,206808,2230371,4,,,
512,e,1022053,2230378,4,,,
513,f,27173,2230381,4,,,
514,b,7311334,2230385,4,,,
515,f,463112,2230391,4,,,
516,c,2763646,2230395,4,,,
517,c,390892,2230398,4,,,
518,f,3803504,2230401,4,,,
519,e,13270001,2230405,4,,,
520,b,154143,2230413,4,,,
521,f,21557398,2230417,4,,,
522,d,71125881,2230420,4,,,
523,c,375096,2230424,4,,,
524,a,730674,2230431,4,,,
525,f,108121,2230435,4,,,
526,b,4619370,2230439,4,,,
527,d,33832112,2230442,4,,,
528,c,5586750,2394716,4,,,
529,c,195973,2394720,4,,,
530,b,229070,2394724,4,,,
531,e,684768,2394727,4,,,
532,a,23026,2394731,4,,,
533,d,18052989,2394735,4,,,
534,e,563703,2394738,4,,,
535,a,1128932,2394741,4,,,
536,f,4680080,2394749,4,,,
537,f,8096588,2394752,4,,,
538,d,15623173,2394756,4,,,
539,d,412289,2394759,4,,,
540,b,256417,2394763,4,,,
541,e,418320,2394767,4,,,
542,d,573985,2394771,4,,,
543,a,6729009,2394774,4,,,
544,f,2456017,2394778,4,,,
545,f,2873860,2394782,4,,,
546,c,4024117,2394785,4,,,
547,c,36511330,2394789,4,,,
548,c,3459851,2394792,4,,,
549,b,7687561,2394796,4,,,
550,e,7263645,2394800,4,,,
551,f,37989,2394804,4,,,
552,d,127216,2394808,4,,,
553,a,1072856,2394811,4,,,
554,a,17229353,2676502,4,,,
555,b,374522,2762344,8,,,
556,f,1079,2762351,8,,,
557,e,25761,2762365,8,,,
558,a,218763,2762366,8,,,
559,a,374522,2762367,8,,,
560,a,479,2762368,8,,,
561,f,2011,2764715,8,,,
562,b,579352,2764717,8,,,
563,a,520970,2764723,8,,,
564,f,247967,2764726,8,,,
565,e,24646,2764735,8,,,
566,a,10470550,2764771,8,,,
567,a,295127,2764786,8,,,
568,d,2751,2764803,8,,,
569,f,37974,2764860,8,,,
570,a,6049087,2778450,8,,,
571,d,42079,2778451,8,,,
572,a,967142,2778466,8,,,
573,d,750205,2778479,8,,,
574,a,49314,2787624,8,,,
575,c,50604,2787660,8,,,
576,b,249899,2788525,8,,,
577,d,16393,2788528,8,,,
578,c,74319,2831097,8,,,
579,e,36629,2831118,8,,,
580,e,1487822,2831121,8,,,
581,e,86207,2831155,8,,,
582,d,1685,2842990,8,,,
583,d,7781,2866521,8,,,
584,e,1923475,2867843,8,,,
585,a,80053854,2877694,8,,,
586,a,1785152,2944809,8,,,
587,b,608466,3011382,8,,,
588,a,29315109,3027017,1,,,
589,f,85970862,3027020,1,,,
590,a,10562162,3027031,1,,,
591,b,16006929,3027043,1,,,
592,d,1830686,3027046,1,,,
593,c,5878479,3027057,1,,,
594,e,39459291,3027065,1,,,
595,c,7702689,3027069,1,,,
596,d,23610870,3027073,1,,,
597,c,173801,3027091,1,,,
598,a,2202509,3027094,1,,,
599,e,4072966,3027101,1,,,
600,e,4349487,3027113,1,,,
601,b,1521787,3027118,1,,,
602,e,4431274,3027122,1,,,
603,e,134772,3027133,1,,,
604,b,3323749,3027141,1,,,
605,e,4008265,3027145,1,,,
606,e,52165593,3027148,1,,,
607,f,1986952,3027153,1,,,
608,f,53987418,3027156,1,,,
609,d,49401316,3027159,1,,,
610,b,23943297,3027164,1,,,
611,d,24781456,3027172,1,,,
612,c,17559148,3027177,1,,,
613,a,162825,3027181,1,,,
614,d,1567120,3027195,1,,,
615,f,1533768,3027207,1,,,
616,c,46392752,3027214,1,,,
617,e,232806,3027237,1,,,
618,a,15037118,3027241,1,,,
619,b,21731511,3027259,1,,,
620,d,280430,3027263,1,,,
621,a,671478,3027267,1,,,
622,f,259497,3027271,1,,,
623,d,3794107,3027274,1,,,
624,a,5404692,3027278,1,,,
